#,Item Name,Price,Bonus,times bought
1,Premium Vodka,650,12,3
2,Aged Bourbon,750,8,5
3,High-End Cocktail Shaker Set,1200,15,3
4,Digital Liquor Dispenser,2300,20,2
5,Mixology Course Subscription,1800,10,1
6,Japanese Ice Ball Mold,550,5,1
7,Electric Citrus Juicer,890,7,1
8,Copper Mugs (Set of 4),650,4,1
9,Crystal Whiskey Glasses,990,6,1
10,Professional Bar Mat,540,3,1
11,High-End Bitters Set,680,9,1
12,Craft Cocktail Ingredient Box,1100,14,3
13,Smart Bottle Opener,750,6,2
14,Bartender Uniform (Premium),1500,11,2
15,Bar Caddy with Tools,720,7,2
16,Leather Bar Roll (Tool Bag),1300,13,1
17,Wine Aerator,600,5,1
18,Infusion Kit,850,9,1
19,Custom Bar Sign (LED),1200,16,3
20,Premium Ice Crusher,2000,12,1
21,Bar Inventory Software,2500,15,1
22,Bottle Cooler,1800,10,1
23,Mobile Bar Cart,2900,18,1
24,Carbonated Cocktail System,3450,19,1
25,Triple Speed Blender,1750,8,0
26,Syrup Variety Pack (Gourmet),790,4,0
27,Aromatic Mist Dispenser,1150,6,0
28,Touchscreen POS Terminal,4800,20,1
29,Copper Bar Tools Kit,920,5,0
30,Refillable CO2 Tank,1250,7,0
31,Velvet-Rope Queue Divider,1300,13,0
32,LED Shelf Lighting,1500,14,0
33,Advanced Mixology App License,890,9,0
34,Caviar Cocktail Kit,1050,8,0
35,Olive and Garnish Tray,650,3,0
36,Bottle Display Rack,1400,11,0
37,Dry Ice Storage Box,900,6,0
38,High-Proof Rum,850,10,0
39,Electric Bottle Opener Set,700,2,0
40,Thermal Flask (for Hot Drinks),550,4,0
41,Digital Refractometer,2000,17,0
42,Luxury Absinthe Fountain,2750,18,1
43,Smoky Flavor Gun,1600,12,0
44,Branded Glassware Set (12 pcs),950,7,0
45,UV Bottle Sterilizer,1300,15,0
46,Ice Block Mold,800,6,0
47,Stainless Steel Keg Tap,1450,9,0
48,Portable Drink Dispenser,1600,13,0
49,Modular Bar Storage System,3100,20,1
50,Premium Alcohol Sampler Box,1350,16,1
51,Deluxe Garnish Kit,850,7,0
52,Artisan Tonic Water Crate,750,5,0
53,Sound-Activated Bar Lights,1100,14,0
54,Cocktail Flavor Enhancer Drops,950,8,0
55,Digital Scale (Precision),680,6,0
56,Bamboo Bar Organizer,700,3,0
57,Customizable Coaster Set,550,4,0
58,Premium Vermouth (Bulk),800,10,1
59,Signature Spirit Infusion Pack,1000,9,0
60,Foldable Serving Station,2100,15,1
61,Ice Mold Variety Set,650,5,0
62,Bartender Skill Training Manual,900,11,0
63,Reusable Glass Straws Pack,600,2,0
64,Nitro Coffee Setup,2750,16,1
65,Bar-Themed Wall Clock,590,4,0
66,Spiced Liqueur Kit,880,6,0
67,Digital Pour Tracker,1350,12,1
68,Bar Cleaning Supply Pack,1050,9,0
69,Premium Drink Menu Stand,700,3,0
70,Handcrafted Mixing Glass,780,7,0
